Site;cont;dis;scatt;iso
BAJO ESTE 2;;;2;
BAJO ESTE 4;;;1;1
BAJO MADRISQUI;;3;3;
BEQUEVE 3ABE3ERA ADENTRO;;4;3;
BO3A DEL MEDIO BAJO 2;;3;3;3
3ARENERO BARLOVENTO;;;3;
3OTE;;2;2;2
FRAN3ISQUI ALTO;;;;1
FRAN3ISQUI ALTO 2;;;2;1
HERRADURA DOS MOSQUISES;;3;3;1
ISLA FELIPA;;1;1;1
LA PEPITA BAJO 1;;1;;1
LA PEPITA BAJO 2;;4;3;1
LA VENADA;1;;1;
LAGUNA  DE ESPENKI;;;1;
LAGUNA 12;;;;1
LAGUNA 8;;3;3;3
LAGUNA 9;;3;3;3
LAGUNA 3ARENERO;;4;3;4
LAGUNA 3ARENERO;;;;1
LAGUNA RABUSQUI;;4;4;1
MADRISQUI 1;;;1;1
MADRISQUI 2;1;1;2;1
MOSQUITO;;;;2
NORONQUIS AFUERA 1;;;;1
NORONQUIS MEDIO SOTAVENTO;;2;2;
NORONQUIS SOTAVENTO;;;1;
PIRATA BAJO 3 I;;2;2;
PIRATA BAJO AFUERA 1;;3;3;1
PIRATA BAJO AFUERA 2;;3;2;1
PISTA 1;;;4;
PISTA 2;;;4;
RABO DE SALINA;;;;1
SARQUIS;;1;1;1
SARQUIS 2;;1;1;1
YONQUI SOTAVENTO;;;3;1
YONQUIS AFUERA 1;;;;1
