date,X,Y,Lat,Lon,Site,Leeward/Windward ,continuos,disperse,scatter,isolated
44385,764470.3,1308104.6,11.82277299,-66.57277099,BAJO ESTE 2,Leeward,0,0,1,0
44385,763974.1,1313672.7,11.8731212,-66.57687788,BAJO ESTE 4,Leeward,0,0,1,1
46113,756768.1,1319134.2,11.92303,-66.64256,BAJO MADRISQUI,Leeward,0,4,4,0
44383,726172.5,1309587.4,11.83896197,-66.92398002,BEQUEVE CABECERA ADENTRO,Leeward,0,3,4,0
44385,761511.7,1316145.3,11.89565599,-66.59927197,BOCA DEL MEDIO BAJO 2,Leeward,0,3,2,1
44383,730857.7188,1316331.041,11.88962536,-66.84319633,CARENERO BARLOVENTO,Windward,0,0,2,0
44381,751472.5126,1301106.611,11.76053317,-66.69251962,COTE,Windward,0,1,2,2
44385,756796.7,1322971.8,11.95770303,-66.64199696,FRANCISQUI ALTO,Windward,0,0,0,1
44385,756398.1,1322478.1,11.95327302,-66.64569397,FRANCISQUI ALTO 2,Windward,0,0,1,1
44381,730449.3778,1305054.478,11.79770652,-66.88505632,HERRADURA DOS MOSQUISES,Leeward,0,3,3,3
46844,734268.6656,1314545.485,11.88321473,-66.84935116,ISLA FELIPA,Leeward,0,4,2,4
44383,741816.1,1313470.5,11.872965,-66.780178,LA PEPITA BAJO 1,Leeward,0,3,0,2
44383,741918.9,1313922.9,11.87704498,-66.77920201,LA PEPITA BAJO 2,Leeward,0,1,3,3
45748,747608.2468,1314141.892,11.87860906,-66.72698605,LA VENADA,Leeward,4,0,3,0
45748,740388.9,1314344.4,11.88096425,-66.79320877,LAGUNA  DE ESPENKI,Leeward,0,0,3,0
44381,751117,1309312,11.83470471,-66.69516066,LAGUNA 12,Leeward,0,0,0,1
44381,751045.1598,1309319.271,11.83477577,-66.69581912,LAGUNA 8,Leeward,0,0,2,0
44381,747865.7511,1307018.53,11.81422111,-66.72515647,LAGUNA 9,Leeward,0,2,0,0
44383,734458.19,1315348.081,11.89045458,-66.84755511,LAGUNA CARENERO,Leeward,0,3,3,1
46844,734458.19,1315348.081,11.89045458,-66.84755511,LAGUNA CARENERO,Leeward,0,0,0,1
44381,751275,1312983.2,11.86786604,-66.69343301,LAGUNA RABUSQUI,Leeward,0,2,3,3
44384,754639.7,1320929.3,11.93941231,-66.66195027,MADRISQUI 1,Windward,0,0,3,2
44384,754915,1320827,11.938467,-66.659432,MADRISQUI 2,Windward,1,3,3,2
46844,734454.8847,1313198.684,11.87103061,-66.84773806,MOSQUITO,Windward,0,0,0,1
44383,747242.7,1319234.8,11.92465704,-66.72995799,NORONQUIS AFUERA 1,Windward,0,0,0,1
45748,746881.8325,1318813.818,11.9230746,-66.74521122,NORONQUIS MEDIO SOTAVENTO,Leeward,0,3,3,0
47209,746881.8325,1318813.818,11.92087968,-66.73330094,NORONQUIS SOTAVENTO,Leeward,0,0,3,0
44384,755376,1320676,11.93706768,-66.65521362,PIRATA BAJO 3 I,Windward,0,3,3,0
44384,755700,1320004,11.93097082,-66.65229278,PIRATA BAJO AFUERA 1,Windward,0,1,2,2
44384,755469,1319667,11.92794343,-66.65443864,PIRATA BAJO AFUERA 2,Windward,0,2,3,1
44385,754546.7,1321988.8,11.94899297,-66.66272197,PISTA 1,Windward,0,0,2,0
44385,754151.4,1321629.3,11.94577499,-66.66637698,PISTA 2,Windward,0,0,2,0
44381,733472.0502,1299198.515,11.74457756,-66.8577392,RABO DE SALINA,Windward,0,0,0,1
44381,749037,1307586.9,11.819271,-66.71437042,SARQUIS,Leeward,0,0,2,2
44381,749037,1307586.9,11.819476,-66.70948848,SARQUIS 2,Leeward,0,0,1,1
47209,737059.9,1314886.4,11.88609961,-66.82371502,YONQUI SOTAVENTO,Windward,0,0,2,1
44383,737189,1315193.9,11.888869,-66.82250855,YONQUIS AFUERA 1,Leeward,0,0,0,1
